1000;0.15;Optimal;[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0];1.943561696;154;0
1000;0.25;Optimal;[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0];3.495140988;254;0
1000;0.35;Optimal;[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0];8.586663391;355;0
1000;0.45;Optimal;[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0];18.999244846;451;0
1000;0.55;Optimal;[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0];23.311722171;553;0
1000;0.75;Optimal;[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0];32.93268345;752;0
1000;0.65;Optimal;[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0];32.956445672;651;0
1000;0.85;Optimal;[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0];40.067142706;851;0
1000;0.95;Optimal;[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0];63.383445081;950;0
1000;0.15;Optimal;[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0];1.744549216;154;0
1000;0.25;Optimal;[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0];3.139185585;254;0
1000;0.35;Optimal;[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0];7.70139617;355;0
1000;0.45;Optimal;[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0];17.1965456;451;0
1000;0.55;Optimal;[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0];21.177431903;553;0
1000;0.75;Optimal;[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0];29.765414394;752;0
1000;0.65;Optimal;[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0];29.753569271;651;0
1000;0.85;Optimal;[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0];35.456926554;851;0
1000;0.95;Optimal;[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0];57.171950842;950;0
